shot_name,match_id,index
non_goals/0,3890561,263
goals/0,3890561,353
non_goals/1,3890561,410
goals/1,3890561,624
non_goals/2,3890561,749
non_goals/3,3890561,1062
non_goals/4,3890561,1067
non_goals/5,3890561,1648
goals/2,3890561,1668
non_goals/6,3890561,1820
non_goals/7,3890561,1827
non_goals/8,3890561,2115
non_goals/9,3890561,2150
non_goals/10,3890561,2357
goals/3,3890561,2410
non_goals/11,3890561,2574
non_goals/12,3890561,2716
non_goals/13,3890561,2749
non_goals/14,3890561,3035
non_goals/15,3890561,3059
non_goals/16,3890561,3067
non_goals/17,3890561,3483
non_goals/18,3890561,3497
non_goals/19,3890561,3729
non_goals/20,3890561,3822
non_goals/21,3890505,316
non_goals/22,3890505,632
non_goals/23,3890505,677
non_goals/24,3890505,813
goals/4,3890505,817
non_goals/25,3890505,1150
non_goals/26,3890505,1292
non_goals/27,3890505,1520
non_goals/28,3890505,1546
non_goals/29,3890505,1788
non_goals/30,3890505,1890
non_goals/31,3890505,1896
non_goals/32,3890505,1933
non_goals/33,3890505,2004
non_goals/34,3890505,2087
non_goals/35,3890505,2492
non_goals/36,3890505,2657
non_goals/37,3890505,2707
non_goals/38,3890505,3065
non_goals/39,3890505,3172
non_goals/40,3890505,3276
non_goals/41,3890505,3380
non_goals/42,3890505,3494
goals/5,3890511,159
non_goals/43,3890511,243
non_goals/44,3890511,248
non_goals/45,3890511,251
non_goals/46,3890511,699
goals/6,3890511,746
non_goals/47,3890511,796
non_goals/48,3890511,891
non_goals/49,3890511,897
non_goals/50,3890511,1394
non_goals/51,3890511,1652
non_goals/52,3890511,1992
non_goals/53,3890511,2021
non_goals/54,3890511,2173
goals/7,3890511,2251
non_goals/55,3890511,2496
non_goals/56,3890511,2536
non_goals/57,3890511,2698
goals/8,3890511,2753
non_goals/58,3890511,3134
non_goals/59,3890511,3138
non_goals/60,3890511,3312
non_goals/61,3890511,3357
non_goals/62,3890515,24
non_goals/63,3890515,236
non_goals/64,3890515,430
non_goals/65,3890515,705
non_goals/66,3890515,719
non_goals/67,3890515,885
non_goals/68,3890515,899
goals/9,3890515,1292
goals/10,3890515,1936
non_goals/69,3890515,2108
non_goals/70,3890515,2175
non_goals/71,3890515,2196
non_goals/72,3890515,2304
non_goals/73,3890515,2332
non_goals/74,3890515,2343
non_goals/75,3890515,2506
non_goals/76,3890515,2914
goals/11,3890515,3144
non_goals/77,3890411,704
non_goals/78,3890411,1030
goals/12,3890411,1394
non_goals/79,3890411,1709
non_goals/80,3890411,1714
goals/13,3890411,2296
non_goals/81,3890411,2740
non_goals/82,3890411,3099
non_goals/83,3890411,3188
non_goals/84,3890411,3478
non_goals/85,3890411,3508
non_goals/86,3890411,3574
non_goals/87,3890397,136
non_goals/88,3890397,432
non_goals/89,3890397,445
non_goals/90,3890397,503
non_goals/91,3890397,520
non_goals/92,3890397,912
goals/14,3890397,1156
non_goals/93,3890397,1189
non_goals/94,3890397,1286
non_goals/95,3890397,1408
non_goals/96,3890397,1626
non_goals/97,3890397,1635
non_goals/98,3890397,1778
non_goals/99,3890397,1833
non_goals/100,3890397,1936
non_goals/101,3890397,1986
non_goals/102,3890397,2215
non_goals/103,3890397,2227
non_goals/104,3890397,2230
non_goals/105,3890397,2333
non_goals/106,3890397,2338
non_goals/107,3890397,2498
non_goals/108,3890397,2557
non_goals/109,3890397,2564
non_goals/110,3890397,2772
non_goals/111,3890397,2791
non_goals/112,3890397,2895
non_goals/113,3890397,3047
non_goals/114,3890397,3081
non_goals/115,3890397,3213
non_goals/116,3890397,3255
non_goals/117,3890397,3279
non_goals/118,3890401,44
non_goals/119,3890401,200
non_goals/120,3890401,225
non_goals/121,3890401,234
goals/15,3890401,244
non_goals/122,3890401,910
goals/16,3890401,978
non_goals/123,3890401,1150
non_goals/124,3890401,1308
non_goals/125,3890401,1316
non_goals/126,3890401,1605
non_goals/127,3890401,1639
non_goals/128,3890401,1821
